step,metric,value,variant,seed
10240000.0,train/return,29.205419540405273,concave_truncated,1
10240000.0,train/success_once,0.0,concave_truncated,1
11520000.0,eval/success_once,0.0,concave_truncated,1
11520000.0,eval/success_at_end,0.0,concave_truncated,1
11520000.0,eval/return,30.62183380126953,concave_truncated,1
11520000.0,train/return,30.25021743774414,concave_truncated,1
11520000.0,train/success_once,0.0,concave_truncated,1
12800000.0,eval/success_once,0.0,concave_truncated,1
12800000.0,eval/success_at_end,0.0,concave_truncated,1
12800000.0,eval/return,30.293630599975586,concave_truncated,1
12800000.0,train/return,30.19747543334961,concave_truncated,1
12800000.0,train/success_once,0.0,concave_truncated,1
14080000.0,eval/success_once,0.0,concave_truncated,1
14080000.0,eval/success_at_end,0.0,concave_truncated,1
14080000.0,eval/return,32.3476448059082,concave_truncated,1
14080000.0,train/return,30.11371612548828,concave_truncated,1
14080000.0,train/success_once,0.0,concave_truncated,1
15360000.0,eval/success_once,0.0,concave_truncated,1
15360000.0,eval/success_at_end,0.0,concave_truncated,1
15360000.0,eval/return,31.734085083007812,concave_truncated,1
15360000.0,train/return,29.904430389404297,concave_truncated,1
15360000.0,train/success_once,0.0013605442363768816,concave_truncated,1
16640000.0,eval/success_once,0.0,concave_truncated,1
16640000.0,eval/success_at_end,0.0,concave_truncated,1
16640000.0,eval/return,30.433069229125977,concave_truncated,1
16640000.0,train/return,26.085702896118164,concave_truncated,1
16640000.0,train/success_once,0.2666666805744171,concave_truncated,1
17920000.0,eval/success_once,0.4375,concave_truncated,1
17920000.0,eval/success_at_end,0.375,concave_truncated,1
17920000.0,eval/return,31.88081169128418,concave_truncated,1
17920000.0,train/return,19.818918228149414,concave_truncated,1
17920000.0,train/success_once,0.40000003576278687,concave_truncated,1
19200000.0,eval/success_once,0.5625,concave_truncated,1
19200000.0,eval/success_at_end,0.3125,concave_truncated,1
19200000.0,eval/return,32.55219268798828,concave_truncated,1
19200000.0,train/return,18.86418342590332,concave_truncated,1
19200000.0,train/success_once,0.7199999690055847,concave_truncated,1
20480000.0,eval/success_once,0.625,concave_truncated,1
20480000.0,eval/success_at_end,0.5,concave_truncated,1
20480000.0,eval/return,35.295310974121094,concave_truncated,1
20480000.0,train/return,15.41008186340332,concave_truncated,1
20480000.0,train/success_once,0.6500000357627869,concave_truncated,1
21760000.0,eval/success_once,0.5625,concave_truncated,1
21760000.0,eval/success_at_end,0.375,concave_truncated,1
21760000.0,eval/return,30.555383682250977,concave_truncated,1
21760000.0,train/return,15.907791137695312,concave_truncated,1
21760000.0,train/success_once,0.6086956858634949,concave_truncated,1
23040000.0,eval/success_once,0.8125,concave_truncated,1
23040000.0,eval/success_at_end,0.625,concave_truncated,1
23040000.0,eval/return,37.5681037902832,concave_truncated,1
23040000.0,train/return,13.728825569152832,concave_truncated,1
23040000.0,train/success_once,0.71875,concave_truncated,1
24320000.0,eval/success_once,0.875,concave_truncated,1
24320000.0,eval/success_at_end,0.625,concave_truncated,1
24320000.0,eval/return,38.18546676635742,concave_truncated,1
24320000.0,train/return,11.547271728515625,concave_truncated,1
24320000.0,train/success_once,0.8095238208770752,concave_truncated,1
25600000.0,eval/success_once,0.75,concave_truncated,1
25600000.0,eval/success_at_end,0.6875,concave_truncated,1
25600000.0,eval/return,35.101436614990234,concave_truncated,1
25600000.0,train/return,11.74489688873291,concave_truncated,1
25600000.0,train/success_once,0.9347826242446899,concave_truncated,1
26880000.0,eval/success_once,0.875,concave_truncated,1
26880000.0,eval/success_at_end,0.625,concave_truncated,1
26880000.0,eval/return,38.15884780883789,concave_truncated,1
26880000.0,train/return,12.235211372375488,concave_truncated,1
26880000.0,train/success_once,0.8378378748893738,concave_truncated,1
28160000.0,eval/success_once,0.8125,concave_truncated,1
28160000.0,eval/success_at_end,0.5625,concave_truncated,1
28160000.0,eval/return,38.434715270996094,concave_truncated,1
28160000.0,train/return,12.792229652404785,concave_truncated,1
28160000.0,train/success_once,0.7428571581840515,concave_truncated,1
29440000.0,eval/success_once,0.625,concave_truncated,1
29440000.0,eval/success_at_end,0.4375,concave_truncated,1
29440000.0,eval/return,34.370933532714844,concave_truncated,1
29440000.0,train/return,12.581159591674805,concave_truncated,1
29440000.0,train/success_once,0.8571428656578064,concave_truncated,1
30720000.0,eval/success_once,0.8125,concave_truncated,1
30720000.0,eval/success_at_end,0.5625,concave_truncated,1
30720000.0,eval/return,38.174957275390625,concave_truncated,1
30720000.0,train/return,11.811952590942383,concave_truncated,1
30720000.0,train/success_once,0.8636363744735718,concave_truncated,1
32000000.0,eval/success_once,0.9375,concave_truncated,1
32000000.0,eval/success_at_end,0.75,concave_truncated,1
32000000.0,eval/return,40.32183837890625,concave_truncated,1
32000000.0,train/return,11.429221153259277,concave_truncated,1
32000000.0,train/success_once,0.8205128312110901,concave_truncated,1
33280000.0,eval/success_once,0.6875,concave_truncated,1
33280000.0,eval/success_at_end,0.5625,concave_truncated,1
33280000.0,eval/return,33.348106384277344,concave_truncated,1
33280000.0,train/return,11.62580394744873,concave_truncated,1
33280000.0,train/success_once,0.8301886916160583,concave_truncated,1
34560000.0,eval/success_once,0.8125,concave_truncated,1
34560000.0,eval/success_at_end,0.75,concave_truncated,1
34560000.0,eval/return,37.16899871826172,concave_truncated,1
34560000.0,train/return,9.7194185256958,concave_truncated,1
34560000.0,train/success_once,0.8611111044883728,concave_truncated,1
35840000.0,eval/success_once,0.9375,concave_truncated,1
35840000.0,eval/success_at_end,0.75,concave_truncated,1
35840000.0,eval/return,37.645172119140625,concave_truncated,1
35840000.0,train/return,13.15980339050293,concave_truncated,1
35840000.0,train/success_once,0.7777777910232544,concave_truncated,1
37120000.0,eval/success_once,1.0,concave_truncated,1
37120000.0,eval/success_at_end,0.8125,concave_truncated,1
37120000.0,eval/return,39.24932098388672,concave_truncated,1
37120000.0,train/return,9.58448314666748,concave_truncated,1
37120000.0,train/success_once,0.9787233471870422,concave_truncated,1
38400000.0,eval/success_once,0.75,concave_truncated,1
38400000.0,eval/success_at_end,0.375,concave_truncated,1
38400000.0,eval/return,36.09703063964844,concave_truncated,1
38400000.0,train/return,11.123156547546387,concave_truncated,1
38400000.0,train/success_once,0.8444444537162781,concave_truncated,1
39680000.0,eval/success_once,0.875,concave_truncated,1
39680000.0,eval/success_at_end,0.6875,concave_truncated,1
39680000.0,eval/return,39.1374397277832,concave_truncated,1
39680000.0,train/return,12.2277193069458,concave_truncated,1
39680000.0,train/success_once,0.8636363744735718,concave_truncated,1
0.0,eval/success_once,0.0,adaptive_tanh_episode,1
0.0,eval/success_at_end,0.0,adaptive_tanh_episode,1
0.0,eval/return,1.2982723712921143,adaptive_tanh_episode,1
0.0,train/return,1.2198171615600586,adaptive_tanh_episode,1
0.0,train/success_once,0.0,adaptive_tanh_episode,1
1280000.0,eval/success_once,0.0,adaptive_tanh_episode,1
1280000.0,eval/success_at_end,0.0,adaptive_tanh_episode,1
1280000.0,eval/return,17.61949348449707,adaptive_tanh_episode,1
1280000.0,train/return,7.304391860961914,adaptive_tanh_episode,1
1280000.0,train/success_once,0.0,adaptive_tanh_episode,1
2560000.0,eval/success_once,0.0,adaptive_tanh_episode,1
2560000.0,eval/success_at_end,0.0,adaptive_tanh_episode,1
2560000.0,eval/return,23.913692474365234,adaptive_tanh_episode,1
2560000.0,train/return,19.98579216003418,adaptive_tanh_episode,1
2560000.0,train/success_once,0.0,adaptive_tanh_episode,1
3840000.0,eval/success_once,0.0,adaptive_tanh_episode,1
3840000.0,eval/success_at_end,0.0,adaptive_tanh_episode,1
3840000.0,eval/return,22.889083862304688,adaptive_tanh_episode,1
3840000.0,train/return,22.200546264648438,adaptive_tanh_episode,1
3840000.0,train/success_once,0.0,adaptive_tanh_episode,1
5120000.0,eval/success_once,0.0,adaptive_tanh_episode,1
5120000.0,eval/success_at_end,0.0,adaptive_tanh_episode,1
5120000.0,eval/return,25.088634490966797,adaptive_tanh_episode,1
5120000.0,train/return,23.975841522216797,adaptive_tanh_episode,1
5120000.0,train/success_once,0.0,adaptive_tanh_episode,1
6400000.0,eval/success_once,0.0,adaptive_tanh_episode,1
6400000.0,eval/success_at_end,0.0,adaptive_tanh_episode,1
6400000.0,eval/return,27.16659927368164,adaptive_tanh_episode,1
6400000.0,train/return,25.09170150756836,adaptive_tanh_episode,1
6400000.0,train/success_once,0.0,adaptive_tanh_episode,1
7680000.0,eval/success_once,0.0,adaptive_tanh_episode,1
7680000.0,eval/success_at_end,0.0,adaptive_tanh_episode,1
7680000.0,eval/return,27.850543975830078,adaptive_tanh_episode,1
7680000.0,train/return,25.42314338684082,adaptive_tanh_episode,1
7680000.0,train/success_once,0.0,adaptive_tanh_episode,1
8960000.0,eval/success_once,0.0,adaptive_tanh_episode,1
8960000.0,eval/success_at_end,0.0,adaptive_tanh_episode,1
8960000.0,eval/return,30.513853073120117,adaptive_tanh_episode,1
8960000.0,train/return,28.022628784179688,adaptive_tanh_episode,1
8960000.0,train/success_once,0.0,adaptive_tanh_episode,1
10240000.0,eval/success_once,0.0,adaptive_tanh_episode,1
10240000.0,eval/success_at_end,0.0,adaptive_tanh_episode,1
10240000.0,eval/return,28.672504425048828,adaptive_tanh_episode,1
10240000.0,train/return,28.410329818725586,adaptive_tanh_episode,1
10240000.0,train/success_once,0.0,adaptive_tanh_episode,1
11520000.0,eval/success_once,0.0,adaptive_tanh_episode,1
11520000.0,eval/success_at_end,0.0,adaptive_tanh_episode,1
11520000.0,eval/return,31.68301010131836,adaptive_tanh_episode,1
11520000.0,train/return,29.743844985961914,adaptive_tanh_episode,1
11520000.0,train/success_once,0.0,adaptive_tanh_episode,1
12800000.0,eval/success_once,0.0,adaptive_tanh_episode,1
12800000.0,eval/success_at_end,0.0,adaptive_tanh_episode,1
12800000.0,eval/return,29.07346534729004,adaptive_tanh_episode,1
12800000.0,train/return,30.234378814697266,adaptive_tanh_episode,1
12800000.0,train/success_once,0.0,adaptive_tanh_episode,1
14080000.0,eval/success_once,0.0,adaptive_tanh_episode,1
14080000.0,eval/success_at_end,0.0,adaptive_tanh_episode,1
14080000.0,eval/return,30.60144805908203,adaptive_tanh_episode,1
14080000.0,train/return,30.37057876586914,adaptive_tanh_episode,1
14080000.0,train/success_once,0.0,adaptive_tanh_episode,1
15360000.0,eval/success_once,0.0,adaptive_tanh_episode,1
15360000.0,eval/success_at_end,0.0,adaptive_tanh_episode,1
15360000.0,eval/return,29.553478240966797,adaptive_tanh_episode,1
15360000.0,train/return,30.544992446899414,adaptive_tanh_episode,1
15360000.0,train/success_once,0.0011312217684462667,adaptive_tanh_episode,1
16640000.0,eval/success_once,0.0,adaptive_tanh_episode,1
16640000.0,eval/success_at_end,0.0,adaptive_tanh_episode,1
16640000.0,eval/return,33.27540588378906,adaptive_tanh_episode,1
16640000.0,train/return,30.370271682739258,adaptive_tanh_episode,1
16640000.0,train/success_once,0.0,adaptive_tanh_episode,1
17920000.0,eval/success_once,0.0,adaptive_tanh_episode,1
17920000.0,eval/success_at_end,0.0,adaptive_tanh_episode,1
17920000.0,eval/return,32.48554229736328,adaptive_tanh_episode,1
17920000.0,train/return,31.011751174926758,adaptive_tanh_episode,1
17920000.0,train/success_once,0.0,adaptive_tanh_episode,1
19200000.0,eval/success_once,0.0,adaptive_tanh_episode,1
19200000.0,eval/success_at_end,0.0,adaptive_tanh_episode,1
19200000.0,eval/return,31.75815773010254,adaptive_tanh_episode,1
19200000.0,train/return,31.314714431762695,adaptive_tanh_episode,1
19200000.0,train/success_once,0.0,adaptive_tanh_episode,1
20480000.0,eval/success_once,0.0,adaptive_tanh_episode,1
20480000.0,eval/success_at_end,0.0,adaptive_tanh_episode,1
20480000.0,eval/return,30.39901351928711,adaptive_tanh_episode,1
20480000.0,train/return,30.23195457458496,adaptive_tanh_episode,1
20480000.0,train/success_once,0.0,adaptive_tanh_episode,1
21760000.0,eval/success_once,0.0,adaptive_tanh_episode,1
21760000.0,eval/success_at_end,0.0,adaptive_tanh_episode,1
21760000.0,eval/return,29.775707244873047,adaptive_tanh_episode,1
21760000.0,train/return,30.791702270507812,adaptive_tanh_episode,1
21760000.0,train/success_once,0.0,adaptive_tanh_episode,1
23040000.0,eval/success_once,0.0,adaptive_tanh_episode,1
23040000.0,eval/success_at_end,0.0,adaptive_tanh_episode,1
23040000.0,eval/return,32.0174560546875,adaptive_tanh_episode,1
23040000.0,train/return,30.362436294555664,adaptive_tanh_episode,1
23040000.0,train/success_once,0.0,adaptive_tanh_episode,1
24320000.0,eval/success_once,0.0,adaptive_tanh_episode,1
24320000.0,eval/success_at_end,0.0,adaptive_tanh_episode,1
24320000.0,eval/return,30.44892120361328,adaptive_tanh_episode,1
24320000.0,train/return,30.87845230102539,adaptive_tanh_episode,1
24320000.0,train/success_once,0.0,adaptive_tanh_episode,1
25600000.0,eval/success_once,0.0,adaptive_tanh_episode,1
25600000.0,eval/success_at_end,0.0,adaptive_tanh_episode,1
25600000.0,eval/return,33.77702713012695,adaptive_tanh_episode,1
25600000.0,train/return,31.16231346130371,adaptive_tanh_episode,1
25600000.0,train/success_once,0.0,adaptive_tanh_episode,1
26880000.0,eval/success_once,0.0,adaptive_tanh_episode,1
26880000.0,eval/success_at_end,0.0,adaptive_tanh_episode,1
26880000.0,eval/return,30.676862716674805,adaptive_tanh_episode,1
26880000.0,train/return,30.750822067260742,adaptive_tanh_episode,1
26880000.0,train/success_once,0.0,adaptive_tanh_episode,1
28160000.0,eval/success_once,0.0,adaptive_tanh_episode,1
28160000.0,eval/success_at_end,0.0,adaptive_tanh_episode,1
