"Step","TARRv2-shift_s123 - agent_reward","TARRv2-shift_s123 - agent_reward__MIN","TARRv2-shift_s123 - agent_reward__MAX","TARRv2-isotanh_s123 - agent_reward","TARRv2-isotanh_s123 - agent_reward__MIN","TARRv2-isotanh_s123 - agent_reward__MAX","TARRv2-none_s123 - agent_reward","TARRv2-none_s123 - agent_reward__MIN","TARRv2-none_s123 - agent_reward__MAX","TARRv2-softmax_s123 - agent_reward","TARRv2-softmax_s123 - agent_reward__MIN","TARRv2-softmax_s123 - agent_reward__MAX","TAR2-softmax_s123 - agent_reward","TAR2-softmax_s123 - agent_reward__MIN","TAR2-softmax_s123 - agent_reward__MAX","spring-music-9 - agent_reward","spring-music-9 - agent_reward__MIN","spring-music-9 - agent_reward__MAX"
"15744","-667.0318260219624","-667.0318260219624","-667.0318260219624","-322.90935023605414","-322.90935023605414","-322.90935023605414","-327.92343661811145","-327.92343661811145","-327.92343661811145","","","","-409.41792308540477","-409.41792308540477","-409.41792308540477","-338.1603446933266","-338.1603446933266","-338.1603446933266"
"15826","-672.9893240832648","-672.9893240832648","-672.9893240832648","-346.5356771526956","-346.5356771526956","-346.5356771526956","-342.91095966389497","-342.91095966389497","-342.91095966389497","","","","-393.3324205217498","-393.3324205217498","-393.3324205217498","-318.1972428547949","-318.1972428547949","-318.1972428547949"
"15908","-700.6533579414873","-700.6533579414873","-700.6533579414873","-325.2654685141209","-325.2654685141209","-325.2654685141209","-328.65922556178157","-328.65922556178157","-328.65922556178157","","","","-407.4985523571475","-407.4985523571475","-407.4985523571475","-334.43944689998904","-334.43944689998904","-334.43944689998904"
"16072","-654.2843849722032","-654.2843849722032","-654.2843849722032","-317.67320093744894","-317.67320093744894","-317.67320093744894","-313.32493308872114","-313.32493308872114","-313.32493308872114","","","","-398.5875198150019","-398.5875198150019","-398.5875198150019","-312.3682392092185","-312.3682392092185","-312.3682392092185"
"16154","-715.826967385179","-715.826967385179","-715.826967385179","-349.33623237840357","-349.33623237840357","-349.33623237840357","-344.2925733751207","-344.2925733751207","-344.2925733751207","","","","-423.62357008646586","-423.62357008646586","-423.62357008646586","-332.62361171847994","-332.62361171847994","-332.62361171847994"
"16236","-684.6190658902","-684.6190658902","-684.6190658902","-328.1620531630152","-328.1620531630152","-328.1620531630152","-335.29185236526047","-335.29185236526047","-335.29185236526047","","","","-416.1997125033875","-416.1997125033875","-416.1997125033875","-360.9915733972894","-360.9915733972894","-360.9915733972894"
"16318","-674.017148416633","-674.017148416633","-674.017148416633","-340.28085060523824","-340.28085060523824","-340.28085060523824","-347.9928087636726","-347.9928087636726","-347.9928087636726","","","","-413.84060107202436","-413.84060107202436","-413.84060107202436","-331.00328278562347","-331.00328278562347","-331.00328278562347"
"16400","-646.9119114845827","-646.9119114845827","-646.9119114845827","-336.86077215218","-336.86077215218","-336.86077215218","-339.12248546864595","-339.12248546864595","-339.12248546864595","","","","-420.24197919713185","-420.24197919713185","-420.24197919713185","-313.11820293316964","-313.11820293316964","-313.11820293316964"
"16564","-649.9272642079752","-649.9272642079752","-649.9272642079752","-341.159589285557","-341.159589285557","-341.159589285557","-350.1126231539189","-350.1126231539189","-350.1126231539189","","","","-399.0750232417755","-399.0750232417755","-399.0750232417755","-345.9815951195744","-345.9815951195744","-345.9815951195744"
"16646","-638.2164274499328","-638.2164274499328","-638.2164274499328","-351.0036403816984","-351.0036403816984","-351.0036403816984","-346.5556562038226","-346.5556562038226","-346.5556562038226","","","","-417.09968526088227","-417.09968526088227","-417.09968526088227","-332.13017356279386","-332.13017356279386","-332.13017356279386"
"16728","-686.2139828083584","-686.2139828083584","-686.2139828083584","-325.81795296720577","-325.81795296720577","-325.81795296720577","-321.24906806285884","-321.24906806285884","-321.24906806285884","","","","-405.70881255293256","-405.70881255293256","-405.70881255293256","-330.56182736391946","-330.56182736391946","-330.56182736391946"
"16810","-655.618435645372","-655.618435645372","-655.618435645372","-311.226232583754","-311.226232583754","-311.226232583754","-309.7253819118381","-309.7253819118381","-309.7253819118381","","","","-390.5947124532172","-390.5947124532172","-390.5947124532172","-344.03326143534173","-344.03326143534173","-344.03326143534173"
"16974","-653.205435974667","-653.205435974667","-653.205435974667","-316.18869275927494","-316.18869275927494","-316.18869275927494","-318.9535891754215","-318.9535891754215","-318.9535891754215","","","","","","","-329.8875473184291","-329.8875473184291","-329.8875473184291"
"17056","-684.0320822495779","-684.0320822495779","-684.0320822495779","-333.7153862330756","-333.7153862330756","-333.7153862330756","-338.00484465798326","-338.00484465798326","-338.00484465798326","","","","","","","-341.78481907698887","-341.78481907698887","-341.78481907698887"
"17138","-670.7002983467444","-670.7002983467444","-670.7002983467444","-298.7511772075925","-298.7511772075925","-298.7511772075925","-305.77424318515733","-305.77424318515733","-305.77424318515733","","","","","","","-345.102228903375","-345.102228903375","-345.102228903375"
"17220","-680.2804260008653","-680.2804260008653","-680.2804260008653","-302.8371760573155","-302.8371760573155","-302.8371760573155","-297.33898228594956","-297.33898228594956","-297.33898228594956","","","","","","","-311.98313911046165","-311.98313911046165","-311.98313911046165"
"17302","-649.9111963618222","-649.9111963618222","-649.9111963618222","-333.6958531230741","-333.6958531230741","-333.6958531230741","-317.0140229681355","-317.0140229681355","-317.0140229681355","","","","","","","-323.3449031016699","-323.3449031016699","-323.3449031016699"
"17466","-690.1432721455758","-690.1432721455758","-690.1432721455758","-302.55479395658455","-302.55479395658455","-302.55479395658455","-307.11198719816014","-307.11198719816014","-307.11198719816014","","","","","","","-324.79438529785506","-324.79438529785506","-324.79438529785506"
"17548","-737.7858217289147","-737.7858217289147","-737.7858217289147","-352.62082743353113","-352.62082743353113","-352.62082743353113","-346.2808754667136","-346.2808754667136","-346.2808754667136","","","","","","","-315.6102954203935","-315.6102954203935","-315.6102954203935"
"17630","-719.252355807254","-719.252355807254","-719.252355807254","-366.0949661012688","-366.0949661012688","-366.0949661012688","-370.7127257572975","-370.7127257572975","-370.7127257572975","","","","","","","-333.1654033119388","-333.1654033119388","-333.1654033119388"
"17712","-727.9231549867188","-727.9231549867188","-727.9231549867188","-349.6015447640291","-349.6015447640291","-349.6015447640291","-361.6519459948488","-361.6519459948488","-361.6519459948488","","","","","","","-351.9480286332992","-351.9480286332992","-351.9480286332992"
"17876","-726.2359664632579","-726.2359664632579","-726.2359664632579","-368.9765461950438","-368.9765461950438","-368.9765461950438","-369.08049142498254","-369.08049142498254","-369.08049142498254","","","","","","","-331.4984841243718","-331.4984841243718","-331.4984841243718"
"17958","-656.9124734838017","-656.9124734838017","-656.9124734838017","-336.7877149863671","-336.7877149863671","-336.7877149863671","-336.9960894533859","-336.9960894533859","-336.9960894533859","","","","","","","-336.3418803932656","-336.3418803932656","-336.3418803932656"
"18040","-665.9964316967063","-665.9964316967063","-665.9964316967063","-351.4854376690413","-351.4854376690413","-351.4854376690413","-340.8506669621176","-340.8506669621176","-340.8506669621176","","","","","","","-348.84630468422205","-348.84630468422205","-348.84630468422205"
"18122","-719.442171084458","-719.442171084458","-719.442171084458","-346.47583256099153","-346.47583256099153","-346.47583256099153","-337.7092601378689","-337.7092601378689","-337.7092601378689","","","","","","","-321.39608680957923","-321.39608680957923","-321.39608680957923"
"18204","-702.3466622654238","-702.3466622654238","-702.3466622654238","-338.6661255118163","-338.6661255118163","-338.6661255118163","-327.31372535051065","-327.31372535051065","-327.31372535051065","","","","","","","-326.7429549485004","-326.7429549485004","-326.7429549485004"
"18368","-721.0752930675948","-721.0752930675948","-721.0752930675948","-336.3494263901488","-336.3494263901488","-336.3494263901488","-327.7356419448796","-327.7356419448796","-327.7356419448796","","","","","","","-302.88522051531544","-302.88522051531544","-302.88522051531544"
"18450","-694.5289751802104","-694.5289751802104","-694.5289751802104","-348.2291352760593","-348.2291352760593","-348.2291352760593","-353.20589339736796","-353.20589339736796","-353.20589339736796","","","","","","","-298.01356003602154","-298.01356003602154","-298.01356003602154"
"18532","-651.5313645364222","-651.5313645364222","-651.5313645364222","-336.2342195519283","-336.2342195519283","-336.2342195519283","-330.1447095615716","-330.1447095615716","-330.1447095615716","","","","","","","-317.9265234672622","-317.9265234672622","-317.9265234672622"
"18614","-684.7620497434499","-684.7620497434499","-684.7620497434499","-348.978265718415","-348.978265718415","-348.978265718415","-339.10755451368277","-339.10755451368277","-339.10755451368277","","","","","","","-326.9308117361486","-326.9308117361486","-326.9308117361486"
"18778","-687.3703103585567","-687.3703103585567","-687.3703103585567","-325.7328389168495","-325.7328389168495","-325.7328389168495","-322.30882003314684","-322.30882003314684","-322.30882003314684","","","","","","","-321.13992839638996","-321.13992839638996","-321.13992839638996"
"18860","-675.0760536883186","-675.0760536883186","-675.0760536883186","-327.2825357677055","-327.2825357677055","-327.2825357677055","-320.49036231668","-320.49036231668","-320.49036231668","","","","","","","-326.4046046802977","-326.4046046802977","-326.4046046802977"
"18942","-660.79433287975","-660.79433287975","-660.79433287975","-318.32277111343404","-318.32277111343404","-318.32277111343404","-308.66481560251805","-308.66481560251805","-308.66481560251805","","","","","","","-308.09236484603036","-308.09236484603036","-308.09236484603036"
"19024","-699.3194759265455","-699.3194759265455","-699.3194759265455","-324.58763247594766","-324.58763247594766","-324.58763247594766","-322.274205802491","-322.274205802491","-322.274205802491","","","","","","","-291.8586511962685","-291.8586511962685","-291.8586511962685"
"19106","-644.5666041920571","-644.5666041920571","-644.5666041920571","-307.6643823775674","-307.6643823775674","-307.6643823775674","-307.572040752994","-307.572040752994","-307.572040752994","","","","","","","-312.56463695000025","-312.56463695000025","-312.56463695000025"
"19270","-689.9394549476062","-689.9394549476062","-689.9394549476062","-351.24104064790527","-351.24104064790527","-351.24104064790527","-334.9662630106331","-334.9662630106331","-334.9662630106331","","","","","","","-334.50132203405354","-334.50132203405354","-334.50132203405354"
"19352","-702.2052974345088","-702.2052974345088","-702.2052974345088","-341.08866249732176","-341.08866249732176","-341.08866249732176","-325.89177107704126","-325.89177107704126","-325.89177107704126","","","","","","","-327.3494186000558","-327.3494186000558","-327.3494186000558"
"19434","-689.6171280859993","-689.6171280859993","-689.6171280859993","-344.17228166125403","-344.17228166125403","-344.17228166125403","-341.3679224133001","-341.3679224133001","-341.3679224133001","","","","","","","-365.11925959008","-365.11925959008","-365.11925959008"
"19516","-715.560123033547","-715.560123033547","-715.560123033547","-328.4531678903327","-328.4531678903327","-328.4531678903327","-320.77107789136744","-320.77107789136744","-320.77107789136744","","","","","","","-352.9576276640148","-352.9576276640148","-352.9576276640148"
"19680","-704.5185211874384","-704.5185211874384","-704.5185211874384","-356.2785645092548","-356.2785645092548","-356.2785645092548","-329.57752180798127","-329.57752180798127","-329.57752180798127","","","","","","","-318.1023548102496","-318.1023548102496","-318.1023548102496"
"19762","-728.2754094016339","-728.2754094016339","-728.2754094016339","-341.88375756238753","-341.88375756238753","-341.88375756238753","-326.8364545129353","-326.8364545129353","-326.8364545129353","","","","","","","-332.3470694408337","-332.3470694408337","-332.3470694408337"
"19844","-722.1347918688354","-722.1347918688354","-722.1347918688354","-320.4115463926283","-320.4115463926283","-320.4115463926283","-299.4157011413127","-299.4157011413127","-299.4157011413127","","","","","","","-317.36238128256826","-317.36238128256826","-317.36238128256826"
"19926","-697.4496787179504","-697.4496787179504","-697.4496787179504","-320.4135895443831","-320.4135895443831","-320.4135895443831","-301.1935586278328","-301.1935586278328","-301.1935586278328","","","","","","","-342.6558119038563","-342.6558119038563","-342.6558119038563"
"20008","-695.0536465645195","-695.0536465645195","-695.0536465645195","-324.9635724502162","-324.9635724502162","-324.9635724502162","-302.3135692257466","-302.3135692257466","-302.3135692257466","","","","","","","-313.49414710236124","-313.49414710236124","-313.49414710236124"
"20172","-718.5088087089946","-718.5088087089946","-718.5088087089946","-343.177962678153","-343.177962678153","-343.177962678153","-323.9087031057819","-323.9087031057819","-323.9087031057819","","","","","","","-289.3203664008887","-289.3203664008887","-289.3203664008887"
"20254","-754.3829878776909","-754.3829878776909","-754.3829878776909","-339.2928902311515","-339.2928902311515","-339.2928902311515","-329.7040470226335","-329.7040470226335","-329.7040470226335","","","","","","","-301.4524230090361","-301.4524230090361","-301.4524230090361"
"20336","-697.8147931137515","-697.8147931137515","-697.8147931137515","-343.38090611988196","-343.38090611988196","-343.38090611988196","-329.3287631741461","-329.3287631741461","-329.3287631741461","","","","","","","-308.57061780908026","-308.57061780908026","-308.57061780908026"
"20418","-699.1510236495988","-699.1510236495988","-699.1510236495988","-333.34168191039913","-333.34168191039913","-333.34168191039913","-325.90875424243757","-325.90875424243757","-325.90875424243757","","","","","","","-313.409065143114","-313.409065143114","-313.409065143114"
"20500","-708.884761846239","-708.884761846239","-708.884761846239","-322.92063913967695","-322.92063913967695","-322.92063913967695","-300.5622114915899","-300.5622114915899","-300.5622114915899","","","","","","","-340.86171626017136","-340.86171626017136","-340.86171626017136"
"20664","-697.1673163781429","-697.1673163781429","-697.1673163781429","-325.5872951664358","-325.5872951664358","-325.5872951664358","-306.35473170375855","-306.35473170375855","-306.35473170375855","","","","","","","-319.58040323877987","-319.58040323877987","-319.58040323877987"
"20746","-732.2574715347687","-732.2574715347687","-732.2574715347687","-355.30707935869145","-355.30707935869145","-355.30707935869145","-338.1293742294923","-338.1293742294923","-338.1293742294923","","","","","","","-332.21072378801676","-332.21072378801676","-332.21072378801676"
"20828","-704.0288645816167","-704.0288645816167","-704.0288645816167","-315.0363888391697","-315.0363888391697","-315.0363888391697","-309.3207301643147","-309.3207301643147","-309.3207301643147","","","","","","","-301.0047154192973","-301.0047154192973","-301.0047154192973"
"20910","-709.5778096547299","-709.5778096547299","-709.5778096547299","-345.41547345455956","-345.41547345455956","-345.41547345455956","-335.1868849224944","-335.1868849224944","-335.1868849224944","","","","","","","-301.4247927445486","-301.4247927445486","-301.4247927445486"
"21074","-700.8316888794784","-700.8316888794784","-700.8316888794784","-354.7121711652901","-354.7121711652901","-354.7121711652901","-350.39612011470234","-350.39612011470234","-350.39612011470234","","","","","","","-321.92244005351034","-321.92244005351034","-321.92244005351034"
"21156","-732.2186061128984","-732.2186061128984","-732.2186061128984","-331.8147636579194","-331.8147636579194","-331.8147636579194","-320.96389165621565","-320.96389165621565","-320.96389165621565","","","","","","","-330.8619396347165","-330.8619396347165","-330.8619396347165"
"21238","-727.7687795972778","-727.7687795972778","-727.7687795972778","-310.4994956093313","-310.4994956093313","-310.4994956093313","-293.73273474296553","-293.73273474296553","-293.73273474296553","","","","","","","-318.04780727563775","-318.04780727563775","-318.04780727563775"
"21320","-726.9951797111513","-726.9951797111513","-726.9951797111513","-326.34462264753955","-326.34462264753955","-326.34462264753955","-320.4879622522894","-320.4879622522894","-320.4879622522894","","","","","","","-306.8525468610605","-306.8525468610605","-306.8525468610605"
"21402","-682.9540499373849","-682.9540499373849","-682.9540499373849","-343.4553011453954","-343.4553011453954","-343.4553011453954","-344.8704389842549","-344.8704389842549","-344.8704389842549","","","","","","","-309.175062703861","-309.175062703861","-309.175062703861"
"21566","-700.065229453975","-700.065229453975","-700.065229453975","-341.87327640377305","-341.87327640377305","-341.87327640377305","-330.12149523943407","-330.12149523943407","-330.12149523943407","","","","","","","-327.9828693052991","-327.9828693052991","-327.9828693052991"
"21648","-685.0331166621697","-685.0331166621697","-685.0331166621697","-305.5452497112149","-305.5452497112149","-305.5452497112149","-292.2591391665241","-292.2591391665241","-292.2591391665241","","","","","","","-329.46449181967745","-329.46449181967745","-329.46449181967745"
"21730","-714.079631924772","-714.079631924772","-714.079631924772","-322.57190784297916","-322.57190784297916","-322.57190784297916","-307.5390969081634","-307.5390969081634","-307.5390969081634","","","","","","","-292.0975852110313","-292.0975852110313","-292.0975852110313"
"21812","-676.1242737276216","-676.1242737276216","-676.1242737276216","-321.26959965928853","-321.26959965928853","-321.26959965928853","-315.1939394877547","-315.1939394877547","-315.1939394877547","","","","","","","-333.55524177940805","-333.55524177940805","-333.55524177940805"
"21976","-713.9808181621133","-713.9808181621133","-713.9808181621133","-327.19027565558287","-327.19027565558287","-327.19027565558287","-318.4610807103812","-318.4610807103812","-318.4610807103812","","","","","","","-300.34208986475375","-300.34208986475375","-300.34208986475375"
"22058","-754.7342040714996","-754.7342040714996","-754.7342040714996","-352.8930585968046","-352.8930585968046","-352.8930585968046","-341.24365538015337","-341.24365538015337","-341.24365538015337","","","","","","","-295.0608843944111","-295.0608843944111","-295.0608843944111"
"22140","-677.3648613451289","-677.3648613451289","-677.3648613451289","-319.2609850227748","-319.2609850227748","-319.2609850227748","-323.3408104834838","-323.3408104834838","-323.3408104834838","","","","","","","-279.00958021718236","-279.00958021718236","-279.00958021718236"
"22222","-748.1853535236744","-748.1853535236744","-748.1853535236744","-367.59052023291355","-367.59052023291355","-367.59052023291355","-353.51825600609016","-353.51825600609016","-353.51825600609016","","","","","","","-292.5247244435705","-292.5247244435705","-292.5247244435705"
"22304","-692.4600302550167","-692.4600302550167","-692.4600302550167","-334.53876781860134","-334.53876781860134","-334.53876781860134","-326.0739388060554","-326.0739388060554","-326.0739388060554","","","","","","","-309.56781483611553","-309.56781483611553","-309.56781483611553"
"22468","-685.0802087338162","-685.0802087338162","-685.0802087338162","-325.62530224364053","-325.62530224364053","-325.62530224364053","-321.8339323210641","-321.8339323210641","-321.8339323210641","","","","","","","-304.7969156877979","-304.7969156877979","-304.7969156877979"
"22550","-714.8067792263637","-714.8067792263637","-714.8067792263637","-335.466388611493","-335.466388611493","-335.466388611493","-325.37285370353493","-325.37285370353493","-325.37285370353493","","","","","","","-313.5115284600984","-313.5115284600984","-313.5115284600984"
"22632","-656.2121883080118","-656.2121883080118","-656.2121883080118","-326.8410328624286","-326.8410328624286","-326.8410328624286","-328.6263126116732","-328.6263126116732","-328.6263126116732","","","","","","","-337.6282483772939","-337.6282483772939","-337.6282483772939"
"22714","-704.8195469783832","-704.8195469783832","-704.8195469783832","-344.5346414949908","-344.5346414949908","-344.5346414949908","-352.04141267658446","-352.04141267658446","-352.04141267658446","","","","","","","-287.4180443407291","-287.4180443407291","-287.4180443407291"
"22878","-683.415519124561","-683.415519124561","-683.415519124561","-340.7715092677415","-340.7715092677415","-340.7715092677415","-342.74685546524734","-342.74685546524734","-342.74685546524734","","","","","","","-325.05590602744263","-325.05590602744263","-325.05590602744263"
"22960","-639.9150303447527","-639.9150303447527","-639.9150303447527","-287.9682980204384","-287.9682980204384","-287.9682980204384","-280.27080848449225","-280.27080848449225","-280.27080848449225","","","","","","","-331.03622953204547","-331.03622953204547","-331.03622953204547"
"23042","-638.6657735521859","-638.6657735521859","-638.6657735521859","-342.81958943681946","-342.81958943681946","-342.81958943681946","-335.7118748680009","-335.7118748680009","-335.7118748680009","","","","","","","-319.931913285846","-319.931913285846","-319.931913285846"
"23124","-671.7552568053043","-671.7552568053043","-671.7552568053043","-305.48085980969006","-305.48085980969006","-305.48085980969006","-300.50341439369765","-300.50341439369765","-300.50341439369765","","","","","","","-300.4334962855835","-300.4334962855835","-300.4334962855835"
"23206","-645.235143059909","-645.235143059909","-645.235143059909","-308.6655039391802","-308.6655039391802","-308.6655039391802","-289.3057064058768","-289.3057064058768","-289.3057064058768","","","","","","","-317.63123861336413","-317.63123861336413","-317.63123861336413"
"23370","-715.5048107552683","-715.5048107552683","-715.5048107552683","-346.37424696632496","-346.37424696632496","-346.37424696632496","-349.8138326993412","-349.8138326993412","-349.8138326993412","","","","","","","-288.7174389278665","-288.7174389278665","-288.7174389278665"
"23452","-655.271709789745","-655.271709789745","-655.271709789745","-336.59491616563923","-336.59491616563923","-336.59491616563923","-338.1760234633346","-338.1760234633346","-338.1760234633346","","","","","","","-297.75596675221243","-297.75596675221243","-297.75596675221243"
"23534","-656.8857394215302","-656.8857394215302","-656.8857394215302","-332.67668871120657","-332.67668871120657","-332.67668871120657","-329.6720679803351","-329.6720679803351","-329.6720679803351","","","","","","","-342.5495498377168","-342.5495498377168","-342.5495498377168"
"23616","-658.1815107790882","-658.1815107790882","-658.1815107790882","-319.91788082631587","-319.91788082631587","-319.91788082631587","-325.0476292137489","-325.0476292137489","-325.0476292137489","","","","","","","-359.79674044445363","-359.79674044445363","-359.79674044445363"
"23780","-654.9654462472216","-654.9654462472216","-654.9654462472216","-334.1055433311037","-334.1055433311037","-334.1055433311037","-322.02405309980253","-322.02405309980253","-322.02405309980253","","","","","","","-312.3694439440401","-312.3694439440401","-312.3694439440401"
"23862","-664.1380798152724","-664.1380798152724","-664.1380798152724","-339.6212777272077","-339.6212777272077","-339.6212777272077","-338.6916438598722","-338.6916438598722","-338.6916438598722","","","","","","","-310.2255961817319","-310.2255961817319","-310.2255961817319"
"23944","-658.2643154373832","-658.2643154373832","-658.2643154373832","-363.03114602360097","-363.03114602360097","-363.03114602360097","-352.56702992805026","-352.56702992805026","-352.56702992805026","","","","","","","-298.593712268721","-298.593712268721","-298.593712268721"
"24026","-651.2411351238309","-651.2411351238309","-651.2411351238309","-295.27466511879464","-295.27466511879464","-295.27466511879464","-281.81604673826206","-281.81604673826206","-281.81604673826206","","","","","","","-321.46119574352974","-321.46119574352974","-321.46119574352974"
"24108","-697.9199010913045","-697.9199010913045","-697.9199010913045","-347.16186718072294","-347.16186718072294","-347.16186718072294","-347.2056708563204","-347.2056708563204","-347.2056708563204","","","","","","","-323.4372846033547","-323.4372846033547","-323.4372846033547"
"24272","-666.1083190242857","-666.1083190242857","-666.1083190242857","-357.3158973649847","-357.3158973649847","-357.3158973649847","-351.7680784442579","-351.7680784442579","-351.7680784442579","","","","","","","-305.2705353958772","-305.2705353958772","-305.2705353958772"
"24354","-675.8259754098872","-675.8259754098872","-675.8259754098872","-331.5174205832492","-331.5174205832492","-331.5174205832492","-323.09846207196136","-323.09846207196136","-323.09846207196136","","","","","","","-334.82283408295586","-334.82283408295586","-334.82283408295586"
"24436","-676.1801096714397","-676.1801096714397","-676.1801096714397","-321.27276937328855","-321.27276937328855","-321.27276937328855","-308.5905741754358","-308.5905741754358","-308.5905741754358","","","","","","","-326.3712606742597","-326.3712606742597","-326.3712606742597"
"24518","-605.372818876286","-605.372818876286","-605.372818876286","-335.54706150064965","-335.54706150064965","-335.54706150064965","-325.1845779026367","-325.1845779026367","-325.1845779026367","","","","","","","-314.2331170148736","-314.2331170148736","-314.2331170148736"
"24600","-667.152006640102","-667.152006640102","-667.152006640102","-329.5561277332251","-329.5561277332251","-329.5561277332251","-312.12759892067857","-312.12759892067857","-312.12759892067857","","","","","","","-278.3101321307288","-278.3101321307288","-278.3101321307288"
"24764","-651.0913144608445","-651.0913144608445","-651.0913144608445","-340.1093860894475","-340.1093860894475","-340.1093860894475","-315.54132137399176","-315.54132137399176","-315.54132137399176","","","","","","","-308.804565816815","-308.804565816815","-308.804565816815"
"24846","-628.9074990100642","-628.9074990100642","-628.9074990100642","-344.20520250077175","-344.20520250077175","-344.20520250077175","-321.74672187469093","-321.74672187469093","-321.74672187469093","","","","","","","-305.98201496162676","-305.98201496162676","-305.98201496162676"
"24928","-650.4615764616748","-650.4615764616748","-650.4615764616748","-318.466812887801","-318.466812887801","-318.466812887801","-303.643909641617","-303.643909641617","-303.643909641617","","","","","","","-302.8488557739508","-302.8488557739508","-302.8488557739508"
"25010","-635.9767345319327","-635.9767345319327","-635.9767345319327","-319.5144243755553","-319.5144243755553","-319.5144243755553","-299.51859438402823","-299.51859438402823","-299.51859438402823","","","","","","","-316.62649919883336","-316.62649919883336","-316.62649919883336"
"25174","-662.217126352058","-662.217126352058","-662.217126352058","-374.6626572061466","-374.6626572061466","-374.6626572061466","-353.8851453180045","-353.8851453180045","-353.8851453180045","","","","","","","-292.25470899222944","-292.25470899222944","-292.25470899222944"
"25256","-627.5654328381174","-627.5654328381174","-627.5654328381174","-335.7120291876343","-335.7120291876343","-335.7120291876343","-316.3991861455704","-316.3991861455704","-316.3991861455704","","","","","","","-298.56009977919115","-298.56009977919115","-298.56009977919115"
"25338","-708.3526853834013","-708.3526853834013","-708.3526853834013","-367.85925603039175","-367.85925603039175","-367.85925603039175","-345.71681414276065","-345.71681414276065","-345.71681414276065","","","","","","","-310.6323975660615","-310.6323975660615","-310.6323975660615"
"25420","-633.3199280617202","-633.3199280617202","-633.3199280617202","-321.51939645781323","-321.51939645781323","-321.51939645781323","-313.10893496220046","-313.10893496220046","-313.10893496220046","","","","","","","-328.9866623993216","-328.9866623993216","-328.9866623993216"
"25502","-615.6253496974849","-615.6253496974849","-615.6253496974849","-337.3790375818353","-337.3790375818353","-337.3790375818353","-294.5117849533971","-294.5117849533971","-294.5117849533971","","","","","","","-331.81108408711225","-331.81108408711225","-331.81108408711225"
"25666","-656.9258487912064","-656.9258487912064","-656.9258487912064","-332.0971187383908","-332.0971187383908","-332.0971187383908","-318.5708420655568","-318.5708420655568","-318.5708420655568","","","","","","","-309.88392141280553","-309.88392141280553","-309.88392141280553"
"25748","-701.8279283304873","-701.8279283304873","-701.8279283304873","-346.0779296343313","-346.0779296343313","-346.0779296343313","-329.19907689441084","-329.19907689441084","-329.19907689441084","","","","","","","-325.6724368217164","-325.6724368217164","-325.6724368217164"
"25830","-689.2409156816284","-689.2409156816284","-689.2409156816284","-314.5572705903749","-314.5572705903749","-314.5572705903749","-303.2982734424835","-303.2982734424835","-303.2982734424835","","","","","","","-299.8828571385434","-299.8828571385434","-299.8828571385434"
"25912","-618.8054567160787","-618.8054567160787","-618.8054567160787","-329.4386102713226","-329.4386102713226","-329.4386102713226","-315.94058222439355","-315.94058222439355","-315.94058222439355","","","","","","","-310.14430432216517","-310.14430432216517","-310.14430432216517"
"26076","-652.8493410694699","-652.8493410694699","-652.8493410694699","-335.4090415262999","-335.4090415262999","-335.4090415262999","-332.9933800738985","-332.9933800738985","-332.9933800738985","","","","","","","-295.6784345059172","-295.6784345059172","-295.6784345059172"
"26158","-666.1663408774331","-666.1663408774331","-666.1663408774331","-335.40137557834953","-335.40137557834953","-335.40137557834953","-323.08283753988707","-323.08283753988707","-323.08283753988707","","","","","","","-326.04735475800953","-326.04735475800953","-326.04735475800953"
"26240","-696.0160596251073","-696.0160596251073","-696.0160596251073","-334.490561361014","-334.490561361014","-334.490561361014","-320.2472959628351","-320.2472959628351","-320.2472959628351","","","","","","","-316.94256689750216","-316.94256689750216","-316.94256689750216"
"26322","-611.9049288100897","-611.9049288100897","-611.9049288100897","-317.37537368909835","-317.37537368909835","-317.37537368909835","-314.0103866119631","-314.0103866119631","-314.0103866119631","","","","","","","-324.3998705547048","-324.3998705547048","-324.3998705547048"
"26404","-635.2034218972772","-635.2034218972772","-635.2034218972772","-319.88810550310046","-319.88810550310046","-319.88810550310046","-306.7237398026536","-306.7237398026536","-306.7237398026536","","","","","","","-295.54373646789185","-295.54373646789185","-295.54373646789185"
"26568","-618.9140443707843","-618.9140443707843","-618.9140443707843","-323.9482759103897","-323.9482759103897","-323.9482759103897","-317.592545630991","-317.592545630991","-317.592545630991","","","","","","","-297.53254145022487","-297.53254145022487","-297.53254145022487"
"26650","-650.2663999679431","-650.2663999679431","-650.2663999679431","-331.7164336596515","-331.7164336596515","-331.7164336596515","-324.53487330316415","-324.53487330316415","-324.53487330316415","","","","","","","-336.6241385615087","-336.6241385615087","-336.6241385615087"
"26732","-681.7213901893956","-681.7213901893956","-681.7213901893956","-343.99305798098925","-343.99305798098925","-343.99305798098925","-333.788840008173","-333.788840008173","-333.788840008173","","","","","","","-308.0664357325835","-308.0664357325835","-308.0664357325835"
"26814","-652.4013277782483","-652.4013277782483","-652.4013277782483","-339.13234627920616","-339.13234627920616","-339.13234627920616","-316.88858004819787","-316.88858004819787","-316.88858004819787","","","","","","","-319.41502002127123","-319.41502002127123","-319.41502002127123"
